reg,point,diff
-0.686,-0.73,0.04399999999999993
-0.407,-0.42,0.013000000000000012
-0.677,-0.63,-0.04700000000000004
-0.475,-0.7,0.22499999999999998
-0.808,-0.78,-0.028000000000000025
-0.404,-0.65,0.246
-0.707,-0.73,0.02300000000000002
-0.428,-0.56,0.13200000000000006
-0.341,-0.34,-0.0010000000000000009
-0.627,-0.74,0.11299999999999999
-0.661,-0.77,0.10899999999999999
-0.442,-0.47,0.02799999999999997
-0.218,-0.28,0.06200000000000003
-0.782,-0.76,-0.02200000000000002
-0.338,-0.37,0.03199999999999997
-0.47,-0.56,0.09000000000000008
-1.11,-0.99,-0.1200000000000001
-1.041,-1.04,-0.0009999999999998899
-0.761,-0.66,-0.10099999999999998
-0.494,-0.55,0.05600000000000005
-0.866,-0.73,-0.136
-0.737,-0.93,0.19300000000000006
-1.086,-1.23,0.1439999999999999
-0.798,-1.07,0.272
